"asd","asdasd","ABab12!@","5","27600","0","SavedGame","save1","Mon Dec 26 15:59:18 PST 2016","GameContext","198950","2","0","0","GridMap","10000","Bricks","160","32","288","32","512","32","576","32","640","32","768","32","896","32","352","96","448","96","544","96","640","96","704","96","896","96","96","160","320","160","352","160","672","160","736","160","832","160","160","224","608","224","672","224","64","288","160","288","448","288","736","288","224","352","352","352","384","352","448","352","736","352","160","64","608","64","32","128","160","128","608","128","800","128","928","128","608","192","736","192","96","256","224","256","864","256","608","320","736","320","Bombs","1","Enemies","class gameplayModel.GridObjects.AnimatedObjects.Enemies.Balloom","864","86","0","class gameplayModel.GridObjects.AnimatedObjects.Enemies.Balloom","296","352","3","class gameplayModel.GridObjects.AnimatedObjects.Enemies.Balloom","736","86","0","class gameplayModel.GridObjects.AnimatedObjects.Enemies.Balloom","42","352","3","class gameplayModel.GridObjects.AnimatedObjects.Enemies.Balloom","480","74","1","class gameplayModel.GridObjects.AnimatedObjects.Enemies.Balloom","608","32","3","Exitway","832","160","PowerUp","class gameplayModel.GridObjects.PowerUps.Flames","800","128","Bomberman","32","32","0","1","PowerUpAcquired"
"l","Demo01","Dem@Us3R01","11","19200","0"
"l","Demo07","Dem@Us3R07","15","16000","0"
"l","Demo05","Dem@Us3R05","15","16000","0"
"l","Demo06","Dem@Us3R06","16","16000","0"
"l","Demo04","Dem@Us3R04","14","14000","0"
"l","Demo03","Dem@Us3R03","13","13000","0"
"l","Demo10","Dem@Us3R10","12","12000","0"
"l","Demo09","Dem@Us3R09","11","11000","0"
"l","Demo02","Dem@Us3R02","11","10000","0"
"l","Demo08","Dem@Us3R08","10","9000","0"
"Eric","asdasdasd","asdASD123!@#","10","0","0"
